iter	Accuracy	Logloss
539	0.8904227783	0.2643109105
540	0.8904227783	0.2642388246
541	0.8907103825	0.2641250688
542	0.8907103825	0.2639730649
543	0.8909979868	0.263794868
544	0.8908541846	0.2635483545
545	0.8909979868	0.2634127536
546	0.8911417889	0.2631961709
547	0.8914293932	0.2629880121
548	0.8917169974	0.26281343
549	0.8914293932	0.2627695324
550	0.8917169974	0.2625361904
551	0.8917169974	0.2622747114
552	0.8918607995	0.262235039
553	0.8918607995	0.2620698004
554	0.8924360081	0.2618338946
555	0.8927236123	0.2615961634
556	0.8927236123	0.26147057
557	0.8930112166	0.2612954104
558	0.8931550187	0.2611511699
559	0.893442623	0.2610615758
560	0.8937302272	0.2608604941
561	0.8940178315	0.2608259156
562	0.8940178315	0.2606843844
563	0.8940178315	0.2606733348
564	0.8940178315	0.2605108384
565	0.8941616336	0.2604007555
566	0.8947368421	0.2603072412
567	0.8944492378	0.2601212561
568	0.8948806442	0.2599400219
569	0.8947368421	0.2598442197
570	0.8947368421	0.2597144081
571	0.89459304	0.2596128206
572	0.8950244464	0.2593722892
573	0.8955996549	0.2590745139
574	0.8958872591	0.2588925432
575	0.8958872591	0.2586201544
576	0.895743457	0.258445618
577	0.895743457	0.2582410194
578	0.8958872591	0.2581395036
579	0.8961748634	0.2579089442
580	0.8961748634	0.2577062618
581	0.8960310613	0.2575735658
582	0.8961748634	0.2574576368
583	0.8961748634	0.2572349598
584	0.8961748634	0.2570608713
585	0.8964624676	0.2569646561
586	0.8967500719	0.2567136493
587	0.8970376762	0.2565477487
588	0.896893874	0.2563562336
589	0.8967500719	0.2561691657
590	0.8967500719	0.2560682497
591	0.8966062698	0.2559491762
592	0.8967500719	0.2556984186
593	0.8971814783	0.2555381457
594	0.8971814783	0.2554713682
595	0.8971814783	0.255311805
596	0.8977566868	0.2551705465
597	0.8973252804	0.2551100154
598	0.8977566868	0.2549363436
599	0.8976128847	0.2548327971
600	0.8981880932	0.2544698681
601	0.8981880932	0.2543348104
602	0.8983318953	0.2542966865
603	0.8976128847	0.2540424003
604	0.8981880932	0.2538713412
605	0.8983318953	0.2536816156
606	0.8984756974	0.253578883
607	0.8989071038	0.2533680214
608	0.8989071038	0.2533052147
609	0.8994823123	0.2529855607
610	0.8994823123	0.2527733621
611	0.8994823123	0.2525884297
612	0.8999137187	0.2522900916
613	0.9003451251	0.2521625072
614	0.9004889272	0.2520334421
615	0.9006327294	0.2517825522
616	0.9009203336	0.2516290117
617	0.9009203336	0.2514806717
618	0.9012079379	0.2514197345
619	0.90135174	0.2512229822
620	0.9016393443	0.25106216
621	0.9017831464	0.2508667346
622	0.9016393443	0.2506961068
623	0.9016393443	0.250603955
624	0.9019269485	0.2504526536
625	0.9020707506	0.2501305438
626	0.9022145528	0.2499793553
627	0.9022145528	0.2498709168
628	0.9023583549	0.2496297224
629	0.9023583549	0.2494790678
630	0.902502157	0.2493179528
631	0.9026459592	0.249152739
632	0.9026459592	0.2489912549
633	0.9026459592	0.2488487939
634	0.9030773655	0.2486574604
635	0.9030773655	0.2484984825
636	0.9032211677	0.2484749458
637	0.9029335634	0.2484016202
638	0.9032211677	0.2482899747
639	0.9030773655	0.2481856133
640	0.9033649698	0.2480374589
641	0.9033649698	0.2479518935
642	0.9032211677	0.2478530766
643	0.9036525741	0.2477220399
644	0.9036525741	0.2476517689
645	0.9035087719	0.2474856115
646	0.9035087719	0.2474098174
647	0.9035087719	0.2470975438
648	0.9035087719	0.2468449653
649	0.9036525741	0.246659886
650	0.9039401783	0.2465739068
651	0.9042277826	0.2464296752
652	0.9043715847	0.2462475155
653	0.9045153868	0.2459479294
654	0.9040839804	0.245793191
655	0.9039401783	0.2456933744
656	0.9042277826	0.2455702732
657	0.904659189	0.245391845
658	0.9049467932	0.245218245
659	0.9048029911	0.2450421831
660	0.9050905953	0.2449384492
661	0.9050905953	0.2448690607
662	0.9050905953	0.2448237614
663	0.9053781996	0.2446305658
664	0.9053781996	0.2444562402
665	0.9056658039	0.2443679079
666	0.9055220017	0.2443419676
667	0.9059534081	0.2440991029
668	0.9065286166	0.2439005876
669	0.9065286166	0.2437230205
670	0.9068162209	0.2436315
671	0.9071038251	0.2435194425
672	0.9071038251	0.2434554587
673	0.9072476273	0.2433972568
674	0.9073914294	0.2432832689
675	0.9073914294	0.2432206644
676	0.9075352315	0.2431282592
677	0.9075352315	0.2430313862
678	0.9078228358	0.2428976977
679	0.9078228358	0.2428735668
680	0.9079666379	0.2427245482
681	0.9076790336	0.2426482546
682	0.9078228358	0.2425285537
683	0.9079666379	0.2423566974
684	0.9078228358	0.2422686942
685	0.9076790336	0.2420377545
686	0.9078228358	0.2418496797
687	0.9079666379	0.2417998835
688	0.90811044	0.2417711175
689	0.90811044	0.2415467151
690	0.9085418464	0.2413614512
691	0.9083980443	0.2412719426
692	0.9083980443	0.2412209907
693	0.9083980443	0.2410776449
694	0.9085418464	0.2409250224
695	0.9086856485	0.2408100217
696	0.9086856485	0.2406549035
697	0.9086856485	0.2405507699
698	0.9086856485	0.2404763387
699	0.9088294507	0.240393689
